sku;name;stock;cost_price;price;min_stock
KBT0104;BIELETA FIAT (GRAND SIENA/MOBI/PALIO/UNO) (11/21) - PERFECT AUTOMOTIVE (REF N6081);2;28,05;28,05;0
CAR80CONTATO_2;SPRAY LIMPA CONTATOS ELÉTRICOS 300ML - CAR80 (REF CAR80CONTATO);4;15,00;15,00;0
AKX35163;FILTRO DE AR CONDICIONADO VW (FOX/GOL/POLO/SAVEIRO/SPACEFOX/VOYAGE) - WEGA (REF ACP303);4;14,54;14,54;0
5977;ORBI AIR LIMPA AR CONDICIONADO FRAGRÂNCIA CARRO NOVO (200ML/140G) - ORBI (REF 5977);1;12,75;12,75;0
5979;ORBI AIR LIMPA AR CONDICIONADO FRAGRÂNCIA CLASSIC (200ML/140G) - ORBI (REF 5979);1;12,75;12,75;0
5976;ORBI AIR LIMPA AR CONDICIONADO FRAGRÂNCIA FLORAL (200ML/140G) - ORBI (REF 5976);1;12,83;12,83;0
WO130;FILTRO DE OLEO FIAT/PALIO/SIENA + GM/AGILE/CELTA (PSL619/LB619/WO130) - WEGA (REF PSL619);4;10,91;10,91;0
WOE803;FILTRO DE OLEO TOYOTA COROLLA 1.8/2.0 10/.. / PRIUS 1.8 12/.. / RAV4 2.0 16V 12/14 - WEGA (REF PEL803);2;14,30;14,30;0
11416;RESERVATÓRIO D'AGUA VW GOL G5/G6/VOYAGE 08/.. / FOX 12/.. - FLORIO (REF 5U0.121.407);2;81,68;81,68;0
13412;RESERVATÓRIO DE EXPANSÃO FIAT (PALIO/SIENA/STRADA/IDEA FIRE) (13412/G1306) - FLORIO (REF 46.779.400);2;56,45;56,45;0
